feature_name,importance
Engine_Vibration_mm_s_t27,0.026644392
Engine_Vibration_mm_s_t29,0.024593465
Engine_Vibration_mm_s_t24,0.02263
Battery_Voltage_V_t13,0.0217205
Battery_Voltage_V_t18,0.019601591
Engine_Vibration_mm_s_t21,0.018683637
Engine_Vibration_mm_s_t26,0.017695494
Battery_Voltage_V_t7,0.017651735
Engine_Vibration_mm_s_t23,0.017443642
Engine_Vibration_mm_s_t25,0.017397767
Engine_Vibration_mm_s_t22,0.01733473
Battery_Voltage_V_t20,0.016889453
Battery_Voltage_V_t15,0.016478682
Engine_Vibration_mm_s_t28,0.015808208
Engine_Vibration_mm_s_t20,0.015315792
Engine_Vibration_mm_s_t19,0.014955321
Battery_Voltage_V_t14,0.013414394
Engine_Vibration_mm_s_t17,0.013302412
Engine_Vibration_mm_s_t18,0.012960875
Engine_Vibration_mm_s_t12,0.012453409
