Split,Vehicle_ID,Initial_RUL,Final_RUL,Total_Decline,Slope_Per_Step
Train,LOV_001,799.3099283859482,556.8099283859482,242.5,-0.25
Train,LOV_005,629.0513432429052,386.5513432429052,242.5,-0.25
Train,LOV_006,1023.1664634915963,780.6664634915965,242.4999999999999,-0.2499999999999999
Train,LOV_007,875.6955032770376,633.1955032770376,242.5,-0.25
Train,LOV_008,848.2423340149167,605.7423340149167,242.5,-0.25
Train,LOV_010,798.5711475650304,556.0711475650304,242.5,-0.25
Train,LOV_011,650.4752878614776,407.9752878614776,242.49999999999994,-0.24999999999999994
Train,LOV_012,809.2945298200784,566.7945298200784,242.5,-0.25
Train,LOV_016,740.0203335503752,497.5203335503752,242.5,-0.25
Train,LOV_019,982.0536474599156,739.5536474599156,242.5,-0.25
Train,LOV_020,1042.330475362544,799.8304753625441,242.49999999999977,-0.24999999999999978
Train,LOV_021,853.4233934161063,610.9233934161063,242.5,-0.25
Train,LOV_023,600.4873465667972,357.9873465667972,242.5,-0.25
Train,LOV_024,565.8321715271109,323.33217152711086,242.5,-0.25
Train,LOV_025,1049.0609174378285,806.5609174378283,242.50000000000023,-0.2500000000000002
Train,LOV_030,817.471432314163,574.971432314163,242.5,-0.25
Train,LOV_032,944.6794341376872,702.1794341376873,242.4999999999999,-0.2499999999999999
Train,LOV_033,875.9386765426017,633.4386765426017,242.5,-0.25
Train,LOV_034,738.6303066106955,496.1303066106954,242.50000000000006,-0.25000000000000006
Train,LOV_035,648.9267356030633,406.4267356030633,242.5,-0.25
Train,LOV_037,1034.123620008918,791.6236200089179,242.5,-0.25
Train,LOV_038,741.540726020796,499.040726020796,242.5,-0.25
Train,LOV_039,1020.328622867411,777.828622867411,242.5,-0.25
Train,LOV_040,717.5229492447568,475.0229492447568,242.5,-0.25
Validation,LOV_002,843.6505791856563,601.1505791856563,242.5,-0.25
Validation,LOV_009,999.8083266904556,757.3083266904555,242.5000000000001,-0.2500000000000001
Validation,LOV_015,995.5226909641224,753.0226909641223,242.5000000000001,-0.2500000000000001
Validation,LOV_018,564.6618658352902,322.1618658352902,242.5,-0.25
Validation,LOV_022,803.41588587631,560.91588587631,242.5,-0.25
Validation,LOV_026,817.5440280975008,575.0440280975008,242.5,-0.25
Validation,LOV_027,699.4472347662797,456.9472347662797,242.50000000000006,-0.25000000000000006
Validation,LOV_036,1026.1410943839592,783.6410943839592,242.5,-0.25
Test,LOV_003,771.3143520080027,528.8143520080027,242.5,-0.25
Test,LOV_004,641.3365007548014,398.83650075480136,242.5,-0.25
Test,LOV_013,860.9964611632965,618.4964611632965,242.5,-0.25
Test,LOV_014,750.4021945875357,507.90219458753575,242.5,-0.25
Test,LOV_017,687.9564398721832,445.4564398721832,242.5,-0.25
Test,LOV_028,792.5458638314617,550.0458638314617,242.5,-0.25
Test,LOV_029,946.0973565385522,703.5973565385522,242.5,-0.25
Test,LOV_031,976.909290389837,734.409290389837,242.5,-0.25
