feature_name,importance
Engine_Vibration_mm_s_t27,0.026644392
Engine_Vibration_mm_s_t29,0.024593465
Engine_Vibration_mm_s_t24,0.02263
Battery_Voltage_V_t13,0.0217205
Battery_Voltage_V_t18,0.019601591
Engine_Vibration_mm_s_t21,0.018683637
Engine_Vibration_mm_s_t26,0.017695494
Battery_Voltage_V_t7,0.017651735
Engine_Vibration_mm_s_t23,0.017443642
Engine_Vibration_mm_s_t25,0.017397767
Engine_Vibration_mm_s_t22,0.01733473
Battery_Voltage_V_t20,0.016889453
Battery_Voltage_V_t15,0.016478682
Engine_Vibration_mm_s_t28,0.015808208
Engine_Vibration_mm_s_t20,0.015315792
Engine_Vibration_mm_s_t19,0.014955321
Battery_Voltage_V_t14,0.013414394
Engine_Vibration_mm_s_t17,0.013302412
Engine_Vibration_mm_s_t18,0.012960875
Engine_Vibration_mm_s_t12,0.012453409
Battery_Voltage_V_t26,0.01229006
Engine_Vibration_mm_s_t14,0.011781878
Engine_Vibration_mm_s_t16,0.011063564
Engine_Vibration_mm_s_t13,0.01028416
Battery_Voltage_V_t10,0.010168667
Battery_Voltage_V_t25,0.010020074
Battery_Voltage_V_t8,0.009866032
Battery_Voltage_V_t17,0.009734389
Battery_Voltage_V_t29,0.00971892
Battery_Voltage_V_t22,0.009227243
Engine_Vibration_mm_s_t15,0.009080393
Engine_Vibration_mm_s_t8,0.008835842
Battery_Voltage_V_t5,0.00855412
Battery_Voltage_V_t9,0.008110223
Battery_Voltage_V_t21,0.008098699
Battery_Voltage_V_t24,0.007977501
Battery_Voltage_V_t27,0.007900434
Engine_Vibration_mm_s_t6,0.0077946777
Battery_Voltage_V_t28,0.0076922146
Engine_Vibration_mm_s_t11,0.0074591413
Battery_Voltage_V_t23,0.0073939823
Engine_Vibration_mm_s_t7,0.00732479
Engine_Vibration_mm_s_t10,0.0071735866
Engine_Vibration_mm_s_t9,0.0071466244
Battery_Voltage_V_t4,0.0070997817
Engine_Vibration_mm_s_t5,0.006735191
Battery_Voltage_V_t6,0.005866509
Engine_Vibration_mm_s_t4,0.005843373
Battery_Voltage_V_t1,0.0057370006
Engine_RPM_t1,0.00538844
Timestamp_Month_t8,0.0052676927
Timestamp_Month_t26,0.005184033
Battery_Voltage_V_t12,0.005010366
Battery_Voltage_V_t0,0.004873773
Battery_Voltage_V_t3,0.0047891205
Engine_RPM_t7,0.004681243
Timestamp_Hour_t6,0.004642485
Battery_Voltage_V_t2,0.0045845276
Timestamp_Month_t12,0.0044744727
Engine_Load_pct_t26,0.004348562
Timestamp_Month_t9,0.004274736
Timestamp_Month_t19,0.004261534
Timestamp_Month_t24,0.004243802
Timestamp_Hour_t7,0.0042118854
Tire_Pressure_psi_t23,0.0042051338
Timestamp_Month_t2,0.003986144
Timestamp_Month_t23,0.0039631873
Timestamp_Month_t29,0.0039610057
Timestamp_Month_t0,0.003953143
Tire_Pressure_psi_t16,0.0039031242
Timestamp_Month_t27,0.0038538391
Timestamp_Month_t6,0.0036863044
Tire_Pressure_psi_t15,0.0035893815
Engine_Load_pct_t0,0.0034658397
Timestamp_Month_t7,0.0033369032
Tire_Pressure_psi_t21,0.0032776943
Timestamp_Hour_t3,0.0032662314
Tire_Pressure_psi_t18,0.0031679352
Engine_Vibration_mm_s_t1,0.0031556317
Timestamp_Month_t25,0.0031447085
Timestamp_Month_t20,0.0031334618
Timestamp_Month_t16,0.003101504
Tire_Pressure_psi_t5,0.0030551427
Tire_Pressure_psi_t9,0.0029786227
Battery_Voltage_V_t19,0.0029483663
Timestamp_Hour_t1,0.0029337867
Timestamp_Hour_t0,0.002932863
Timestamp_Month_t28,0.002923057
Engine_Vibration_mm_s_t3,0.0029083386
Engine_Load_pct_t10,0.0028542108
Engine_Vibration_mm_s_t0,0.0028444624
Timestamp_Month_t15,0.0028326372
Timestamp_Month_t10,0.0028289629
Timestamp_Month_t11,0.00282008
Timestamp_Month_t14,0.0028090712
Timestamp_Hour_t9,0.002791528
Engine_Load_pct_t27,0.0027254103
Timestamp_Month_t5,0.0027082898
Engine_Load_pct_t8,0.0027073082
Timestamp_Month_t3,0.0026112471
Ambient_Temp_C_t18,0.0026101295
Engine_Vibration_mm_s_t2,0.0026008452
Timestamp_Month_t22,0.0025975292
Timestamp_Hour_t2,0.002586411
Engine_Load_pct_t29,0.0025739647
Fuel_Level_pct_t24,0.0025662123
Timestamp_Month_t21,0.0024965713
Timestamp_Hour_t17,0.0024804857
Tire_Pressure_psi_t1,0.0024745476
Engine_Load_pct_t23,0.0024661599
Timestamp_Hour_t11,0.0024605372
Fuel_Level_pct_t22,0.0024400926
Tire_Pressure_psi_t11,0.0024270348
Tire_Pressure_psi_t3,0.0023562042
Tire_Pressure_psi_t10,0.0023538733
Tire_Pressure_psi_t6,0.0023441224
Timestamp_Hour_t24,0.00232142
Timestamp_Month_t4,0.0023121051
Tire_Pressure_psi_t14,0.0022967886
Tire_Pressure_psi_t4,0.0022622773
Engine_Load_pct_t28,0.002250668
Timestamp_Hour_t27,0.0022416182
Tire_Pressure_psi_t0,0.0021747001
Engine_Load_pct_t24,0.0021677075
Tire_Pressure_psi_t28,0.002115658
Timestamp_Hour_t15,0.0021106324
Timestamp_Hour_t23,0.0020927074
Timestamp_Hour_t21,0.0020918185
Fuel_Level_pct_t20,0.0020880997
Fuel_Level_pct_t0,0.002034143
Engine_Load_pct_t21,0.0020228692
Tire_Pressure_psi_t13,0.0019701319
Timestamp_Month_t18,0.0019530436
Timestamp_Hour_t20,0.001937917
Fuel_Level_pct_t26,0.0018894711
Engine_Load_pct_t25,0.0018894003
Timestamp_Hour_t26,0.0018885835
Timestamp_Hour_t28,0.0018666689
Fuel_Level_pct_t16,0.001863802
Tire_Pressure_psi_t19,0.001852744
Tire_Pressure_psi_t7,0.0018455648
Tire_Pressure_psi_t12,0.0018452294
Engine_Load_pct_t1,0.0018122834
Fuel_Level_pct_t23,0.001806868
Tire_Pressure_psi_t20,0.0017765862
Tire_Pressure_psi_t22,0.0017648168
Engine_Load_pct_t5,0.0017630481
Timestamp_Hour_t4,0.0017441239
Battery_Voltage_V_t16,0.0017409654
Engine_Load_pct_t2,0.0017298708
Engine_Load_pct_t7,0.0017071925
Tire_Pressure_psi_t2,0.0017007323
Fuel_Level_pct_t3,0.0016820661
Fuel_Level_pct_t8,0.0016782045
Engine_Load_pct_t15,0.0016644689
Fuel_Level_pct_t28,0.0016556978
Timestamp_Month_t13,0.0016505483
Fuel_Level_pct_t19,0.0016440348
Timestamp_Hour_t25,0.001636062
Timestamp_Hour_t13,0.0016061537
Fuel_Level_pct_t17,0.0016037178
Fuel_Level_pct_t1,0.0015860723
Oil_Temp_C_t14,0.001582593
Tire_Pressure_psi_t29,0.0015824933
Engine_Load_pct_t16,0.0015333699
Engine_Load_pct_t12,0.0015316451
Engine_Load_pct_t3,0.0015268349
Fuel_Level_pct_t7,0.0015125166
Tire_Pressure_psi_t27,0.0015073414
Engine_Load_pct_t17,0.0014976319
Engine_Load_pct_t14,0.0014890156
Exhaust_Gas_Temp_C_t28,0.0014821504
Fuel_Level_pct_t5,0.001475029
Fuel_Level_pct_t10,0.0014165326
Fuel_Level_pct_t2,0.0014113991
Timestamp_Month_t1,0.0013778732
Timestamp_Month_t17,0.0013705805
Fuel_Level_pct_t12,0.0013624453
Timestamp_Hour_t22,0.0013606088
Oil_Temp_C_t7,0.0013405855
Fuel_Level_pct_t29,0.0013210189
Exhaust_Gas_Temp_C_t6,0.001317959
Engine_Load_pct_t20,0.0013055825
Fuel_Level_pct_t13,0.0012800504
Fuel_Level_pct_t18,0.0012725943
Engine_RPM_t15,0.0012723795
Oil_Temp_C_t21,0.0012699689
Fuel_Level_pct_t11,0.0012658017
Engine_Load_pct_t22,0.0012567525
Engine_Load_pct_t9,0.0012539233
Engine_Load_pct_t6,0.0012509502
Fuel_Level_pct_t4,0.001248607
Engine_Load_pct_t18,0.0012338186
Fuel_Level_pct_t6,0.0012297456
Engine_Load_pct_t11,0.0012217612
Engine_RPM_t21,0.0011858182
Engine_RPM_t10,0.0011543446
Fuel_Level_pct_t14,0.0011443195
Engine_RPM_t17,0.0011053194
Fuel_Level_pct_t15,0.0011022667
Throttle_Position_pct_t0,0.0010980034
Engine_RPM_t18,0.0010930126
Fuel_Level_pct_t27,0.0010566358
Timestamp_DayOfWeek_t4,0.0010395731
Engine_RPM_t29,0.001034418
Fuel_Level_pct_t21,0.0010249583
Timestamp_DayOfWeek_t0,0.0010146312
Fuel_Level_pct_t9,0.0010069456
Engine_Load_pct_t19,0.0010060587
Ambient_Temp_C_t5,0.00095308723
Tire_Pressure_psi_t26,0.0009432001
Engine_Load_pct_t13,0.0009416559
Timestamp_DayOfWeek_t5,0.0009364148
Ambient_Temp_C_t9,0.0009319324
Timestamp_DayOfWeek_t3,0.0008870997
Tire_Pressure_psi_t8,0.0008731782
Fuel_Level_pct_t25,0.00086482085
Engine_Load_pct_t4,0.0008565737
Tire_Pressure_psi_t24,0.000842835
Ambient_Temp_C_t13,0.0007833006
Odometer_km_t28,0.0007717589
Battery_Voltage_V_t11,0.00075143465
Tire_Pressure_psi_t17,0.0007365826
Engine_RPM_t19,0.00073205656
Engine_RPM_t9,0.00072340434
Engine_RPM_t20,0.0006750502
Engine_RPM_t4,0.0006739772
Timestamp_DayOfWeek_t10,0.00066663924
Oil_Pressure_bar_t9,0.00063361286
Engine_RPM_t8,0.00063191715
Brake_Pad_Wear_pct_t0,0.00062083255
Timestamp_DayOfWeek_t1,0.00061618374
Engine_RPM_t22,0.00059812376
Oil_Pressure_bar_t26,0.0005952518
Odometer_km_t3,0.0005836928
Engine_RPM_t13,0.00056124025
Odometer_km_t5,0.0005606214
Odometer_km_t0,0.00055515475
Timestamp_DayOfWeek_t16,0.00054628326
Engine_RPM_t24,0.00053993973
Brake_Pad_Wear_pct_t18,0.00053703017
Timestamp_DayOfWeek_t2,0.0005219044
Timestamp_DayOfWeek_t17,0.0005133685
Odometer_km_t4,0.0005074721
Engine_RPM_t0,0.0004414177
Brake_Pad_Wear_pct_t10,0.0003942945
Engine_RPM_t16,0.00033767932
Timestamp_DayOfWeek_t21,0.00033730257
Odometer_km_t6,0.00033026983
Engine_RPM_t23,0.0002789609
Ambient_Temp_C_t2,0.00026421694
Engine_RPM_t28,0.00016301418
Odometer_km_t7,0.000129373
Brake_Pad_Wear_pct_t14,0.00011950791
Engine_RPM_t26,0.000116450465
Brake_Pad_Wear_pct_t24,0.0001059149
Brake_Pad_Wear_pct_t17,6.784925e-05
Brake_Pad_Wear_pct_t28,5.5467288e-05
Intake_Air_Temp_C_t20,3.3000633e-05
Oil_Temp_C_t29,0.0
Coolant_Temp_C_t1,0.0
Oil_Temp_C_t1,0.0
Transmission_Oil_Temp_C_t28,0.0
Timestamp_DayOfWeek_t28,0.0
RF_Abnormal_Probability_t28,0.0
RF_Abnormal_Prediction_t28,0.0
Operating_Terrain_hilly_t28,0.0
Exhaust_Gas_Temp_C_t0,0.0
Turbo_Boost_kPa_t0,0.0
Oil_Temp_C_t0,0.0
Intake_Air_Temp_C_t9,0.0
Turbo_Boost_kPa_t9,0.0
Operating_Terrain_hilly_t4,0.0
Operating_Terrain_mud_t4,0.0
Operating_Terrain_road_t4,0.0
Operating_Terrain_rough_t4,0.0
Operating_Terrain_sand_t4,0.0
Engine_RPM_t5,0.0
Speed_kmph_t5,0.0
Coolant_Temp_C_t5,0.0
Transmission_Oil_Temp_C_t29,0.0
Timestamp_Hour_t29,0.0
Timestamp_DayOfWeek_t29,0.0
Oil_Pressure_bar_t5,0.0
Operating_Terrain_mud_t28,0.0
Operating_Terrain_road_t28,0.0
Operating_Terrain_road_t9,0.0
Operating_Terrain_rough_t9,0.0
Operating_Terrain_sand_t9,0.0
Odometer_km_t10,0.0
Speed_kmph_t10,0.0
Coolant_Temp_C_t10,0.0
Oil_Temp_C_t10,0.0
Operating_Terrain_mud_t8,0.0
Operating_Terrain_road_t8,0.0
Operating_Terrain_rough_t8,0.0
Operating_Terrain_sand_t8,0.0
Odometer_km_t9,0.0
Speed_kmph_t9,0.0
Coolant_Temp_C_t9,0.0
Oil_Temp_C_t9,0.0
Throttle_Position_pct_t9,0.0
Transmission_Oil_Temp_C_t10,0.0
Timestamp_Hour_t10,0.0
RF_Abnormal_Probability_t10,0.0
RF_Abnormal_Prediction_t10,0.0
Operating_Terrain_hilly_t10,0.0
Operating_Terrain_mud_t10,0.0
Operating_Terrain_road_t10,0.0
Exhaust_Gas_Temp_C_t9,0.0
Brake_Pad_Wear_pct_t9,0.0
Transmission_Oil_Temp_C_t9,0.0
Timestamp_DayOfWeek_t9,0.0
RF_Abnormal_Probability_t9,0.0
RF_Abnormal_Prediction_t9,0.0
Operating_Terrain_hilly_t9,0.0
Operating_Terrain_mud_t9,0.0
Odometer_km_t11,0.0
Engine_RPM_t11,0.0
Speed_kmph_t11,0.0
Coolant_Temp_C_t11,0.0
Oil_Temp_C_t11,0.0
Oil_Pressure_bar_t11,0.0
Throttle_Position_pct_t11,0.0
Intake_Air_Temp_C_t11,0.0
Ambient_Temp_C_t11,0.0
Turbo_Boost_kPa_t11,0.0
Oil_Pressure_bar_t10,0.0
Throttle_Position_pct_t10,0.0
Intake_Air_Temp_C_t10,0.0
Ambient_Temp_C_t10,0.0
Turbo_Boost_kPa_t10,0.0
Exhaust_Gas_Temp_C_t10,0.0
Oil_Temp_C_t8,0.0
Oil_Pressure_bar_t8,0.0
Throttle_Position_pct_t8,0.0
Intake_Air_Temp_C_t8,0.0
Ambient_Temp_C_t8,0.0
Turbo_Boost_kPa_t8,0.0
Exhaust_Gas_Temp_C_t8,0.0
Turbo_Boost_kPa_t4,0.0
Exhaust_Gas_Temp_C_t4,0.0
Brake_Pad_Wear_pct_t4,0.0
Exhaust_Gas_Temp_C_t11,0.0
Brake_Pad_Wear_pct_t11,0.0
Transmission_Oil_Temp_C_t11,0.0
Timestamp_DayOfWeek_t11,0.0
Operating_Terrain_rough_t10,0.0
Operating_Terrain_sand_t10,0.0
Throttle_Position_pct_t12,0.0
Speed_kmph_t4,0.0
Coolant_Temp_C_t4,0.0
Oil_Temp_C_t4,0.0
Oil_Pressure_bar_t4,0.0
Throttle_Position_pct_t4,0.0
Intake_Air_Temp_C_t4,0.0
Ambient_Temp_C_t4,0.0
Oil_Temp_C_t5,0.0
Transmission_Oil_Temp_C_t8,0.0
Timestamp_Hour_t8,0.0
Timestamp_DayOfWeek_t8,0.0
RF_Abnormal_Probability_t8,0.0
RF_Abnormal_Prediction_t8,0.0
Operating_Terrain_hilly_t8,0.0
Coolant_Temp_C_t8,0.0
Operating_Terrain_road_t12,0.0
Operating_Terrain_rough_t12,0.0
Operating_Terrain_sand_t12,0.0
RF_Abnormal_Probability_t11,0.0
RF_Abnormal_Prediction_t11,0.0
Operating_Terrain_hilly_t11,0.0
Operating_Terrain_mud_t11,0.0
Operating_Terrain_road_t11,0.0
Operating_Terrain_rough_t11,0.0
Operating_Terrain_sand_t11,0.0
Odometer_km_t12,0.0
Engine_RPM_t12,0.0
Speed_kmph_t12,0.0
Coolant_Temp_C_t12,0.0
Oil_Temp_C_t12,0.0
Oil_Pressure_bar_t12,0.0
Turbo_Boost_kPa_t13,0.0
Exhaust_Gas_Temp_C_t13,0.0
Brake_Pad_Wear_pct_t13,0.0
Transmission_Oil_Temp_C_t13,0.0
Intake_Air_Temp_C_t12,0.0
Ambient_Temp_C_t12,0.0
Turbo_Boost_kPa_t12,0.0
Exhaust_Gas_Temp_C_t12,0.0
Brake_Pad_Wear_pct_t12,0.0
Transmission_Oil_Temp_C_t12,0.0
Timestamp_Hour_t12,0.0
Timestamp_DayOfWeek_t12,0.0
RF_Abnormal_Probability_t12,0.0
RF_Abnormal_Prediction_t12,0.0
Operating_Terrain_hilly_t12,0.0
Operating_Terrain_mud_t12,0.0
Operating_Terrain_mud_t13,0.0
Operating_Terrain_road_t13,0.0
Operating_Terrain_rough_t13,0.0
Operating_Terrain_sand_t13,0.0
Odometer_km_t14,0.0
Engine_RPM_t14,0.0
Speed_kmph_t14,0.0
Coolant_Temp_C_t14,0.0
Oil_Pressure_bar_t14,0.0
Odometer_km_t13,0.0
Speed_kmph_t13,0.0
Coolant_Temp_C_t13,0.0
Oil_Temp_C_t13,0.0
Oil_Pressure_bar_t13,0.0
Throttle_Position_pct_t13,0.0
Intake_Air_Temp_C_t13,0.0
Transmission_Oil_Temp_C_t7,0.0
Timestamp_DayOfWeek_t7,0.0
RF_Abnormal_Probability_t7,0.0
RF_Abnormal_Prediction_t7,0.0
Operating_Terrain_hilly_t7,0.0
Timestamp_DayOfWeek_t14,0.0
RF_Abnormal_Probability_t14,0.0
RF_Abnormal_Prediction_t14,0.0
Operating_Terrain_hilly_t14,0.0
Operating_Terrain_mud_t14,0.0
Exhaust_Gas_Temp_C_t3,0.0
