candidate,max_depth,min_samples_leaf,max_samples,max_features,class_weight,train_auc,validation_auc,validation_balanced_accuracy,validation_specificity,validation_recall,validation_f1,validation_mcc,train_validation_auc_gap,selection_score
27,12,5,0.85,sqrt,balanced,0.9748983072916668,0.7592263671875,0.7253125,0.65125,0.799375,0.8474407818452874,0.3969316591235927,0.2156719401041668,0.8698378715382602
25,12,5,0.7,sqrt,balanced,0.9715072048611111,0.7589583984375,0.7240625,0.64625,0.801875,0.8484046949909075,0.39594537030861543,0.21254880642361107,0.8685199735842927
29,12,10,0.7,sqrt,balanced,0.9659340711805555,0.7587867187499999,0.72453125,0.65875,0.7903125,0.8427190936354548,0.39216090664957204,0.2071473524305556,0.8684847355833865
36,12,15,0.85,sqrt,balanced_subsample,0.9631223524305556,0.7586357421875001,0.7250000000000001,0.67,0.78,0.8375838926174497,0.3891948750579695,0.20448661024305548,0.8684782187181912
28,12,5,0.85,sqrt,balanced_subsample,0.9754177951388889,0.7600521484374999,0.7240625,0.64875,0.799375,0.8471601258486504,0.3949302039772686,0.21536564670138902,0.8682854733041343
33,12,15,0.7,sqrt,balanced,0.9592089409722222,0.758604296875,0.7245312500000001,0.6675,0.7815625,0.8382771912183676,0.38899198645191785,0.20060464409722223,0.8681598447730225
35,12,15,0.85,sqrt,balanced,0.9636302083333335,0.7566599609375,0.72390625,0.66875,0.7790625,0.8368580060422961,0.3871312821349402,0.20697024739583347,0.8666499901509463
16,10,5,0.85,sqrt,balanced_subsample,0.9614966579861111,0.758548828125,0.72375,0.67375,0.77375,0.8340912918982651,0.3851003810282699,0.20294782986111104,0.8664775675250984
31,12,10,0.85,sqrt,balanced,0.969233203125,0.758645703125,0.72328125,0.65875,0.7878125,0.8411745078411745,0.38923813081416314,0.21058750000000004,0.8664640714753327
26,12,5,0.7,sqrt,balanced_subsample,0.9718433159722222,0.7573898437500001,0.7225,0.65,0.795,0.8446215139442231,0.39070051759862273,0.2144534722222221,0.8656564142836135
13,10,5,0.7,sqrt,balanced,0.9579712239583333,0.7581107421875001,0.7228125,0.67375,0.771875,0.8329118192547631,0.3829992016839587,0.19986048177083326,0.865230390467
32,12,10,0.85,sqrt,balanced_subsample,0.9692180989583333,0.7588072265625,0.7220312499999999,0.6525,0.7915625,0.8427882215937448,0.38863573565808207,0.21041087239583334,0.8651185761680746
30,12,10,0.7,sqrt,balanced_subsample,0.9652232638888888,0.7582267578125,0.72203125,0.655,0.7890625,0.8415264122646225,0.38770190620873235,0.20699650607638875,0.865044481719177
34,12,15,0.7,sqrt,balanced_subsample,0.9600430989583334,0.75836171875,0.72171875,0.6625,0.7809375,0.8373261852906685,0.3842924882895666,0.20168138020833337,0.8643293505224966
48,14,15,0.85,sqrt,balanced_subsample,0.9711885416666668,0.7601402343750001,0.72046875,0.64625,0.7946875,0.844009293063392,0.38732621410170426,0.21104830729166668,0.8633956008932575
15,10,5,0.85,sqrt,balanced,0.9606504340277777,0.7581470703125,0.72140625,0.67375,0.7690625,0.8311381290104695,0.37986595065012124,0.20250336371527777,0.8630689789755104
14,10,5,0.7,sqrt,balanced_subsample,0.9579820746527777,0.7585341796875,0.72078125,0.67,0.7715625,0.8322939490982639,0.37966804227858075,0.1994478949652777,0.8625958816762024
47,14,15,0.85,sqrt,balanced,0.9721054687499999,0.7595181640625,0.71984375,0.64375,0.7959375,0.8444960212201591,0.38680854174322626,0.21258730468749998,0.8625279095205203
20,10,10,0.85,sqrt,balanced_subsample,0.9555076822916666,0.75819375,0.7209375,0.67625,0.765625,0.8292435268234896,0.37805221780226217,0.1973139322916666,0.8625016219458691
46,14,15,0.7,sqrt,balanced_subsample,0.9673668402777778,0.7611291015625,0.7193750000000001,0.64375,0.795,0.8439210482667109,0.3856933854344475,0.20623773871527773,0.8623147003073757
17,10,10,0.7,sqrt,balanced,0.9518326822916665,0.7577794921875001,0.72046875,0.67375,0.7671875,0.8299526707234618,0.37778927393550155,0.19405319010416644,0.862101894500642
44,14,10,0.85,sqrt,balanced_subsample,0.9781155815972222,0.75959453125,0.71859375,0.62875,0.8084375,0.8504273504273504,0.3899042719339285,0.21852105034722225,0.8616080049944246
24,10,15,0.85,sqrt,balanced_subsample,0.9511787760416666,0.7590468749999999,0.71953125,0.6775,0.7615625,0.8268023748939779,0.3745947513776073,0.19213190104166666,0.860748292723438
41,14,10,0.7,sqrt,balanced,0.9741697482638888,0.7588726562500001,0.7178125,0.62875,0.806875,0.849481822668202,0.3879798219162638,0.2152970920138887,0.8605308754075583
21,10,15,0.7,sqrt,balanced,0.9479150607638889,0.7573980468750001,0.7190624999999999,0.67875,0.759375,0.8255478172243927,0.3732087537267576,0.19051701388888875,0.8599182047384071
23,10,15,0.85,sqrt,balanced,0.951345703125,0.758922265625,0.7184375000000001,0.67625,0.760625,0.8260648226709656,0.37258143001563193,0.19242343750000002,0.8592248406906265
22,10,15,0.7,sqrt,balanced_subsample,0.9484934895833335,0.7578177734375,0.71828125,0.675,0.7615625,0.8265219603188062,0.37260933351565517,0.19067571614583345,0.8590511082395893
19,10,10,0.85,sqrt,balanced,0.9551026041666667,0.7577570312499999,0.7178125,0.6725,0.763125,0.8272357723577236,0.37232905982905984,0.19734557291666677,0.8581867364449786
42,14,10,0.7,sqrt,balanced_subsample,0.9734057725694445,0.7595921875,0.71609375,0.63,0.8021875,0.8467755236681511,0.3832668683192353,0.21381358506944448,0.8580156631603748
45,14,15,0.7,sqrt,balanced,0.9667420572916667,0.7579804687499999,0.7159375,0.6375,0.794375,0.8428381962864722,0.3799356110086274,0.20876158854166682,0.8572845896496423
18,10,10,0.7,sqrt,balanced_subsample,0.9528183593750001,0.7592582031250001,0.71671875,0.66875,0.7646875,0.827807848443843,0.3710596164265705,0.19356015625,0.8571784857853142
43,14,10,0.85,sqrt,balanced,0.9780056423611111,0.7577624999999999,0.7146875,0.6225,0.806875,0.8487836949375411,0.38293671882574537,0.2202431423611112,0.8560389366470935
39,14,5,0.85,sqrt,balanced,0.9846186631944444,0.7560046875,0.7132812500000001,0.6075,0.8190625,0.8544417277913611,0.3860324374730577,0.2286139756944443,0.8546575074598894
3,8,5,0.85,sqrt,balanced,0.9388569444444445,0.75535703125,0.71546875,0.68875,0.7421875,0.8155906593406593,0.362863377151864,0.18349991319444448,0.8544021328956506
12,8,15,0.85,sqrt,balanced_subsample,0.932534157986111,0.75705546875,0.71390625,0.6925,0.7353125,0.8115192274530091,0.35871641042802266,0.17547868923611099,0.852581144498799
40,14,5,0.85,sqrt,balanced_subsample,0.9841776475694445,0.758199609375,0.7106250000000001,0.5975,0.82375,0.8561221175706398,0.38390781440075633,0.2259780381944445,0.851927621907929
2,8,5,0.7,sqrt,balanced_subsample,0.9382929687500001,0.755600390625,0.7134375,0.685,0.741875,0.8149673875729488,0.3595671240419189,0.18269257812500017,0.8517763349646337
9,8,15,0.7,sqrt,balanced,0.9321530815972222,0.7562066406250001,0.71265625,0.69,0.7353125,0.8112394414756077,0.356737772481881,0.17594644097222212,0.8508271465102651
5,8,10,0.7,sqrt,balanced,0.9345254774305556,0.754679296875,0.71203125,0.68875,0.7353125,0.8110996208204068,0.3557481253283735,0.17984618055555557,0.8496564957253969
4,8,5,0.85,sqrt,balanced_subsample,0.9392260416666667,0.754119921875,0.7121875,0.68875,0.735625,0.8113044976736171,0.35606926424568003,0.1851061197916667,0.8495580390470526
1,8,5,0.7,sqrt,balanced,0.9371627170138889,0.756091015625,0.71171875,0.68375,0.7396875,0.8134020618556701,0.3563026977965929,0.18107170138888884,0.8495348060523741
38,14,5,0.7,sqrt,balanced_subsample,0.9812665364583335,0.7583443359375,0.70875,0.595,0.8225,0.8551007147498375,0.3802541812991561,0.22292220052083356,0.8494891598275395
10,8,15,0.7,sqrt,balanced_subsample,0.9318298177083333,0.753528515625,0.71140625,0.69,0.7328125,0.809597790436734,0.35417629769994513,0.17830130208333328,0.8486792959983225
37,14,5,0.7,sqrt,balanced,0.9815853732638888,0.7592955078125001,0.708125,0.595,0.82125,0.8543563068920677,0.3786477768244001,0.22228986545138874,0.8486696128735606
11,8,15,0.85,sqrt,balanced,0.9335976562499999,0.755682421875,0.7106250000000001,0.68875,0.7325,0.8092525461764198,0.35286744220216265,0.1779152343749999,0.8478709689091827
6,8,10,0.7,sqrt,balanced_subsample,0.9342914930555557,0.7557808593750001,0.71015625,0.68625,0.7340625,0.81,0.35248577634774503,0.17851063368055564,0.8473059595230213
7,8,10,0.85,sqrt,balanced,0.9351094618055557,0.75451640625,0.70984375,0.68625,0.7334375,0.8095895136253881,0.35184585316267564,0.1805930555555556,0.8466349084797573
