Feature,Importance
Brake_Pad_Wear_pct_past_mean10,0.10314628377065582
Operating_Hours,0.10066830743824305
Brake_Pad_Wear_pct,0.09888488378392811
Fuel_Level_pct_past_mean10,0.08907549101292639
Fuel_Level_pct,0.08046149086259326
Brake_Pad_Wear_pct_past_std10,0.047053407525445096
BrakeWear_per_Hour,0.04539810870835249
Odometer_km,0.03960400297114214
Odometer_per_Hour,0.03573346486563137
Brake_Pad_Wear_pct_delta1,0.03141815434163411
Engine_Load_pct,0.03093053242938962
Oil_Pressure_bar_past_mean10,0.027385640595557807
Engine_Vibration_mm_s_past_mean10,0.01942305637414731
Exhaust_Gas_Temp_C,0.015413093152978122
Fuel_Level_pct_past_std10,0.013355158929244002
Coolant_Temp_C,0.01271317420211478
Throttle_Position_pct,0.012330527580361558
Oil_Temp_C,0.01200267682703267
Battery_Voltage_V,0.011384070204433645
Oil_Pressure_bar,0.011078588840958229
Exhaust_Ambient_Delta,0.010870976950304836
Coolant_Temp_C_past_mean10,0.010598472641129134
Engine_Vibration_mm_s,0.010200047158297282
Engine_Load_pct_past_std10,0.00979145602677751
Coolant_Temp_C_past_std10,0.008844186268646938
Engine_Vibration_mm_s_past_std10,0.008601050117212345
Engine_Load_pct_past_mean10,0.00790771497514146
Engine_RPM_past_std10,0.007840762245411317
Engine_RPM,0.0074734562707579775
Oil_Pressure_bar_past_std10,0.007430298927879892
Coolant_Temp_C_delta1,0.007400907053934706
Engine_RPM_past_mean10,0.007376485925334924
Turbo_Boost_kPa,0.006617965689942903
Oil_Temp_C_delta1,0.006446853608058444
Engine_Vibration_mm_s_delta1,0.006029731027782738
Speed_kmph,0.0057997299107114654
Load_RPM_Ratio,0.005503931995459029
Coolant_Ambient_Delta,0.005041315646522811
Oil_Ambient_Delta,0.00482534538886712
Tire_Pressure_psi,0.004623706838743844
Intake_Air_Temp_C,0.004553845334883252
Ambient_Temp_C,0.004526148993364119
Oil_Pressure_bar_delta1,0.004235496588066413
