threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,mcc,specificity,tn,fp,fn,tp
0.52,0.76425,0.7265625,0.9037567084078711,0.789375,0.8427022518765638,0.7597220703124999,0.9133115107580226,0.39505137434621757,0.66375,531,269,674,2526
0.53,0.76175,0.7259375,0.9039913700107874,0.785625,0.840662096639358,0.7597220703124999,0.9133115107580226,0.39267743912961595,0.66625,533,267,686,2514
0.51,0.76625,0.7259374999999999,0.9028815368196371,0.793125,0.8444518382964565,0.7597220703124999,0.9133115107580226,0.3954730990581187,0.65875,527,273,662,2538
0.54,0.758,0.7240625,0.9037626628075254,0.780625,0.8376928236083165,0.7597220703124999,0.9133115107580226,0.3879188654644727,0.6675,534,266,702,2498
0.5,0.768,0.72375,0.9011299435028248,0.7975,0.8461538461538461,0.7597220703124999,0.9133115107580226,0.3936814724778252,0.65,520,280,648,2552
0.56,0.75325,0.7234375,0.9045703839122486,0.773125,0.833698399326032,0.7597220703124999,0.9133115107580226,0.38439888007958384,0.67375,539,261,726,2474
0.55,0.75525,0.7232812500000001,0.9039650782102583,0.7765625,0.8354345268112288,0.7597220703124999,0.9133115107580226,0.38528864360547405,0.67,536,264,715,2485
0.57,0.75075,0.72328125,0.9051121735932328,0.7690625,0.8315593850312553,0.7597220703124999,0.9133115107580226,0.3828450748686986,0.6775,542,258,739,2461
0.49,0.77075,0.72265625,0.8998248686514886,0.8028125,0.8485549132947977,0.7597220703124999,0.9133115107580226,0.39407516770775947,0.6425,514,286,631,2569
0.48,0.774,0.7223437500000001,0.8988881167477415,0.8084375,0.8512668641000329,0.7597220703124999,0.9133115107580226,0.39594337545185854,0.63625,509,291,613,2587
0.58,0.74675,0.72171875,0.9051500555761393,0.7634375,0.828275978979488,0.7597220703124999,0.9133115107580226,0.3786276354169658,0.68,544,256,757,2443
0.59,0.742,0.71921875,0.9047796863330844,0.7571875,0.8244300782579108,0.7597220703124999,0.9133115107580226,0.37282640351891966,0.68125,545,255,777,2423
0.6,0.73825,0.71734375,0.9045471627207816,0.7521875,0.821361542398908,0.7597220703124999,0.9133115107580226,0.3684549611382954,0.6825,546,254,793,2407
0.47,0.774,0.7171875000000001,0.8958620689655172,0.811875,0.8518032786885246,0.7597220703124999,0.9133115107580226,0.3891252951143187,0.6225,498,302,602,2598
0.61,0.73525,0.71640625,0.9047258979206049,0.7478125,0.818819503849444,0.7597220703124999,0.9133115107580226,0.36579460166723476,0.685,548,252,807,2393
0.62,0.73125,0.714375,0.904453749524172,0.7425,0.8155139866140381,0.7597220703124999,0.9133115107580226,0.36120920618008373,0.68625,549,251,824,2376
0.46,0.776,0.7142187499999999,0.8937115516062885,0.8171875,0.8537381651975188,0.7597220703124999,0.9133115107580226,0.38669464464688647,0.61125,489,311,585,2615
0.64,0.72475,0.7140625,0.9059961315280464,0.731875,0.8096802074330164,0.7597220703124999,0.9133115107580226,0.3581641205834867,0.69625,557,243,858,2342
0.63,0.728,0.71375,0.9049079754601227,0.7375,0.8126721763085399,0.7597220703124999,0.9133115107580226,0.3589902806179688,0.69,552,248,840,2360
