feature,importance
t01__Oil_Pressure_bar_past_mean10,0.15348965
t03__Oil_Pressure_bar_past_mean10,0.14608471
t07__Oil_Pressure_bar_past_mean10,0.08044874
t01__Engine_Vibration_mm_s_past_mean10,0.049467754
t02__Oil_Pressure_bar_past_mean10,0.03972779
t05__Engine_Vibration_mm_s_past_mean10,0.035529125
t04__Oil_Pressure_bar_past_mean10,0.03445614
t25__Oil_Pressure_bar_past_mean10,0.027796326
t15__Oil_Pressure_bar_past_mean10,0.02623522
t11__Engine_Vibration_mm_s_past_mean10,0.024142703
t06__Brake_Pad_Wear_pct,0.02180489
t13__Oil_Pressure_bar_past_mean10,0.020710647
t09__Oil_Pressure_bar_past_mean10,0.015709369
t16__Oil_Pressure_bar_past_mean10,0.014343661
t29__Oil_Pressure_bar_past_mean10,0.010935339
t24__Brake_Pad_Wear_pct,0.0098272925
t29__Engine_Vibration_mm_s_past_mean10,0.009685793
t14__Engine_Vibration_mm_s_past_mean10,0.0080951685
t13__Engine_Vibration_mm_s_past_mean10,0.0076926453
t28__Brake_Pad_Wear_pct,0.0074561154
t00__Engine_Vibration_mm_s_past_mean10,0.007060263
t01__Odometer_per_Hour,0.0070226393
t09__Brake_Pad_Wear_pct,0.0068677003
t26__Engine_Vibration_mm_s_past_mean10,0.006402402
t10__Oil_Pressure_bar_past_mean10,0.006297881
t20__Oil_Pressure_bar_past_mean10,0.0054277293
t17__Operating_Hours,0.00507893
t06__Engine_Vibration_mm_s_past_mean10,0.00450309
t29__Brake_Pad_Wear_pct,0.004308039
t22__Engine_Vibration_mm_s_past_mean10,0.003954738
t27__Oil_Pressure_bar_past_mean10,0.0039356453
t04__Engine_Vibration_mm_s_past_mean10,0.0038721946
t28__Engine_Vibration_mm_s_past_mean10,0.003738464
t00__Oil_Pressure_bar_past_mean10,0.0035372882
t09__Fuel_Level_pct_past_mean10,0.0033756127
t13__Fuel_Level_pct_past_mean10,0.003272531
t13__Brake_Pad_Wear_pct,0.003008616
t12__Oil_Pressure_bar_past_mean10,0.002960621
t20__Engine_Vibration_mm_s_past_mean10,0.0029129626
t14__Oil_Pressure_bar_past_mean10,0.0029110697
t12__Fuel_Level_pct_past_mean10,0.0027918941
t21__Oil_Pressure_bar_past_mean10,0.0027077633
t10__Engine_Vibration_mm_s_past_mean10,0.0026303846
t13__Operating_Hours,0.0024789178
t28__Oil_Pressure_bar_past_mean10,0.0024459092
t11__Oil_Pressure_bar_past_mean10,0.0022738876
t10__Odometer_km,0.0022249161
t26__Oil_Pressure_bar_past_mean10,0.0022247385
t19__Engine_Vibration_mm_s_past_mean10,0.0021746948
t23__Operating_Hours,0.00212845
t19__Oil_Pressure_bar_past_mean10,0.0020890848
t14__Operating_Hours,0.001942978
t07__BrakeWear_per_Hour,0.0019218355
t24__Engine_Vibration_mm_s_past_mean10,0.0018349277
t03__Operating_Hours,0.0018137379
t01__Brake_Pad_Wear_pct_past_mean10,0.0018105634
t17__Brake_Pad_Wear_pct,0.0017421443
t05__Fuel_Level_pct_past_mean10,0.001708381
t24__Oil_Pressure_bar_past_mean10,0.0016405932
t18__Engine_Vibration_mm_s_past_mean10,0.0016103517
t24__Fuel_Level_pct_past_mean10,0.0015780396
t05__Odometer_km,0.0015499956
t16__BrakeWear_per_Hour,0.0015158162
t25__Operating_Hours,0.0015077759
t22__Battery_Voltage_V,0.0014637599
t10__Operating_Hours,0.0014055674
t29__Fuel_Level_pct_past_mean10,0.001403492
t03__Fuel_Level_pct,0.0013809926
t25__Brake_Pad_Wear_pct,0.0013778252
t29__Operating_Hours,0.0013306105
t21__Fuel_Level_pct_past_mean10,0.0013058778
t02__Engine_Vibration_mm_s_past_mean10,0.0013029687
t11__BrakeWear_per_Hour,0.0012955602
t09__Operating_Hours,0.0012945426
t00__Brake_Pad_Wear_pct_past_mean10,0.0012845655
t28__Battery_Voltage_V,0.0012840822
t29__BrakeWear_per_Hour,0.0012353242
t00__Odometer_km,0.0012022739
t08__BrakeWear_per_Hour,0.0011703449
t06__Odometer_km,0.0011475002
t24__BrakeWear_per_Hour,0.0011454332
t07__Odometer_km,0.0010637838
t15__Engine_Vibration_mm_s_past_mean10,0.001062055
t28__Fuel_Level_pct_past_mean10,0.0010391589
t00__Odometer_per_Hour,0.0010068135
t00__Brake_Pad_Wear_pct,0.0010019982
t28__Operating_Hours,0.0009793193
t20__Fuel_Level_pct_past_mean10,0.0009650608
t10__Odometer_per_Hour,0.0009374983
t04__Odometer_per_Hour,0.0009228621
t27__Odometer_per_Hour,0.00091502734
t03__Fuel_Level_pct_past_mean10,0.0009024157
t02__Odometer_per_Hour,0.0008914031
t27__Odometer_km,0.000889339
t06__Oil_Pressure_bar_past_mean10,0.00088469026
t21__Odometer_km,0.00086210284
t22__Oil_Pressure_bar_past_mean10,0.00086037384
t29__Brake_Pad_Wear_pct_past_std10,0.00084940356
t03__Odometer_km,0.00084272726
t19__Operating_Hours,0.0008237265
t03__Oil_Pressure_bar_past_std10,0.00079244777
t26__Brake_Pad_Wear_pct,0.0007834087
t16__Engine_RPM_past_std10,0.00078058994
t29__Odometer_km,0.00077900506
t28__Fuel_Level_pct,0.00077660166
t08__Odometer_per_Hour,0.0007718885
t17__Engine_Vibration_mm_s_past_mean10,0.00076247554
t27__Operating_Hours,0.0007520523
t25__Odometer_per_Hour,0.0007123298
t01__Operating_Hours,0.0007041955
t05__Oil_Pressure_bar_past_mean10,0.00070065365
t11__Odometer_km,0.0007003949
t14__Odometer_per_Hour,0.00070008315
t26__Engine_RPM_past_std10,0.00069979584
t13__Odometer_per_Hour,0.00069258874
t24__Operating_Hours,0.0006782488
t09__Engine_Vibration_mm_s_past_mean10,0.0006774536
t16__Engine_Vibration_mm_s_past_mean10,0.000669671
t26__Odometer_km,0.000665947
t29__Odometer_per_Hour,0.00066260825
t24__Brake_Pad_Wear_pct_past_std10,0.00065853936
t18__Odometer_km,0.00065146066
t26__Coolant_Temp_C_past_mean10,0.000621972
t05__Brake_Pad_Wear_pct,0.00061878597
t14__Odometer_km,0.0006167412
t12__Engine_Vibration_mm_s_past_mean10,0.00060006854
t07__Engine_Vibration_mm_s_past_mean10,0.0005885382
t02__Fuel_Level_pct_past_mean10,0.00058066606
t14__BrakeWear_per_Hour,0.00058025256
t03__Brake_Pad_Wear_pct_past_mean10,0.00058021536
t28__Odometer_per_Hour,0.0005720657
t26__Operating_Hours,0.0005573105
t20__RF_Abnormal_Probability,0.0005505087
t04__Operating_Hours,0.00055028166
t00__Fuel_Level_pct_past_mean10,0.00054831646
t09__Odometer_km,0.00054635544
t22__BrakeWear_per_Hour,0.0005417509
t04__Odometer_km,0.0005360121
t23__RF_Abnormal_Probability,0.00053075986
t07__Fuel_Level_pct_past_mean10,0.00052446034
t20__Odometer_per_Hour,0.00051645463
t00__BrakeWear_per_Hour,0.0005074084
t01__Odometer_km,0.0005008643
t08__Oil_Pressure_bar_past_mean10,0.0004909039
t21__Engine_Vibration_mm_s_past_mean10,0.0004907932
t04__BrakeWear_per_Hour,0.00048982014
t16__Odometer_km,0.0004838928
t21__Engine_Load_pct_past_mean10,0.00047148982
t24__Odometer_km,0.0004695627
t29__Battery_Voltage_V,0.0004636845
t09__Fuel_Level_pct_past_std10,0.00044671615
t12__Fuel_Level_pct,0.00044499015
t21__BrakeWear_per_Hour,0.0004447068
t03__Odometer_per_Hour,0.00043912567
t19__Battery_Voltage_V,0.00043791073
t01__BrakeWear_per_Hour,0.00042247018
t21__Coolant_Temp_C_past_std10,0.00042085833
t22__Operating_Hours,0.00042020765
t26__Battery_Voltage_V,0.00041766994
t21__Battery_Voltage_V,0.0004128085
t26__RF_Abnormal_Probability,0.0004120746
t18__BrakeWear_per_Hour,0.00041196967
t25__Odometer_km,0.00040086772
t02__Oil_Pressure_bar_past_std10,0.00039738516
t17__Oil_Pressure_bar_past_mean10,0.00039278
t16__Odometer_per_Hour,0.00038605504
t27__BrakeWear_per_Hour,0.0003814606
t25__Engine_Vibration_mm_s_past_mean10,0.0003807173
t05__BrakeWear_per_Hour,0.00038010653
t27__Brake_Pad_Wear_pct_past_std10,0.00037948776
t09__BrakeWear_per_Hour,0.00037846767
t19__Odometer_per_Hour,0.00037540306
t01__Oil_Pressure_bar_past_std10,0.00037516703
t05__Operating_Hours,0.0003701079
t18__Fuel_Level_pct,0.00036361197
t27__Battery_Voltage_V,0.00036324692
t16__Engine_Load_pct_past_std10,0.00036289621
t23__Engine_RPM_past_mean10,0.00035588152
t23__Brake_Pad_Wear_pct,0.00034858586
t01__Fuel_Level_pct_past_mean10,0.00032642068
t02__Odometer_km,0.00032521857
t13__RF_Abnormal_Probability,0.00032370057
t06__Engine_RPM_past_std10,0.00031877065
t15__Odometer_km,0.00031650942
t28__RF_Abnormal_Probability,0.00030694596
t29__Fuel_Level_pct,0.000305462
t28__Odometer_km,0.00029948636
t14__Fuel_Level_pct_past_mean10,0.0002976148
t28__BrakeWear_per_Hour,0.00029633302
t08__Fuel_Level_pct_past_std10,0.00029562207
t06__Oil_Pressure_bar_past_std10,0.00029206835
t15__Fuel_Level_pct_past_mean10,0.0002857432
t08__Engine_Vibration_mm_s_past_mean10,0.00028105424
t18__Battery_Voltage_V,0.00027911415
t26__BrakeWear_per_Hour,0.00027682135
t07__Engine_RPM_past_std10,0.00026972036
t01__RF_Abnormal_Probability,0.00026824846
t29__Oil_Pressure_bar,0.00026784802
t18__Oil_Pressure_bar_past_mean10,0.00026752462
t23__Coolant_Temp_C_past_std10,0.00026371647
t02__RF_Abnormal_Probability,0.00025552834
t23__Odometer_per_Hour,0.00025334468
t07__Brake_Pad_Wear_pct,0.00025322582
t15__Odometer_per_Hour,0.00025156114
t27__Fuel_Level_pct_past_std10,0.00025088064
t16__Coolant_Temp_C_past_std10,0.00024597908
t22__Coolant_Temp_C_past_mean10,0.0002438164
t23__Fuel_Level_pct,0.00024351024
t03__BrakeWear_per_Hour,0.00023784237
t01__Engine_RPM_past_std10,0.00023688839
t26__Fuel_Level_pct_past_mean10,0.00023417574
t09__RF_Abnormal_Probability,0.00023111633
t13__Odometer_km,0.00021929987
t07__Fuel_Level_pct,0.00021599692
t18__Coolant_Temp_C_past_std10,0.00020635554
t20__BrakeWear_per_Hour,0.00020632833
t15__Oil_Pressure_bar_past_std10,0.00020578777
t12__Odometer_km,0.00020410234
t02__Operating_Hours,0.00020182409
t15__RF_Abnormal_Probability,0.00020145325
t29__RF_Abnormal_Probability,0.0001997239
t15__BrakeWear_per_Hour,0.0001988711
t25__Battery_Voltage_V,0.00019711444
t08__Engine_RPM_past_std10,0.00019559442
t01__Fuel_Level_pct,0.00019182531
t16__RF_Abnormal_Probability,0.00019156764
t07__Operating_Hours,0.000189569
t18__Fuel_Level_pct_past_mean10,0.0001839016
t23__BrakeWear_per_Hour,0.0001837171
t13__Coolant_Temp_C_past_std10,0.00018356972
t13__BrakeWear_per_Hour,0.00018311274
t25__Engine_RPM_past_std10,0.00018170752
t06__Fuel_Level_pct_past_mean10,0.00017881891
t23__Odometer_km,0.00017873605
t22__Odometer_km,0.00017810187
t14__Fuel_Level_pct,0.00017583855
t24__Battery_Voltage_V,0.00017563422
t05__Fuel_Level_pct,0.00017479708
t08__Fuel_Level_pct_past_mean10,0.00016816104
t08__Coolant_Temp_C_past_std10,0.00016798562
t29__Coolant_Temp_C_past_std10,0.0001668125
t16__Engine_Vibration_mm_s_past_std10,0.00016661164
t29__Coolant_Temp_C_past_mean10,0.00016543744
t18__Fuel_Level_pct_past_std10,0.00016432436
t12__Fuel_Level_pct_past_std10,0.00016198076
t02__Coolant_Temp_C_past_std10,0.00016112886
t17__Oil_Pressure_bar_past_std10,0.00015936657
t02__Engine_Load_pct_past_mean10,0.00015754384
t28__Fuel_Level_pct_past_std10,0.0001575358
t23__Fuel_Level_pct_past_mean10,0.0001526876
t00__RF_Abnormal_Probability,0.00015136435
t05__Odometer_per_Hour,0.0001506322
